Player,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Kobe,1,0,1:00,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
Kobe,2,0,5:00,1,3,0.333,0,1,0,4,4,1,0,0,0,0,0,0,0,1,6,3.9
Kobe,3,0,27:00:00,7,13,0.538,2,3,0.667,6,8,0.75,0,4,4,2,1,0,4,5,22,12.5
Kobe,4,0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kobe,1,0,14:00,1,7,0.143,1,5,0.2,0,1,0,1,1,2,3,0,1,0,5,3,-0.1
Kobe,2,0,4:00,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,2,2,0.6
Kobe,3,0,19:00,3,7,0.429,0,2,0,13,14,0.929,0,1,1,3,1,1,3,3,19,14.8
Kobe,4,0,28:00:00,3,9,0.333,3,6,0.5,0,0,,0,2,2,0,0,0,5,4,9,-2.1
Kobe,5,0,29:00:00,4,14,0.286,0,6,0,3,3,1,0,2,2,2,1,0,1,3,11,3.6
Kobe,1,0,27:00:00,4,9,0.444,1,1,1,6,9,0.667,0,1,1,4,1,2,0,5,15,12.6
Kobe,2,0,24:00:00,2,7,0.286,0,0,,0,0,,0,3,3,4,0,1,1,2,4,2.5
Kobe,3,0,16:00,1,6,0.167,0,2,0,2,2,1,3,2,5,0,0,0,1,3,4,0.7
Kobe,4,0,36:00:00,9,16,0.563,1,1,1,3,4,0.75,0,3,3,4,0,1,1,4,22,15.8
Kobe,1,0,16:00,1,5,0.2,0,2,0,2,4,0.5,1,0,1,0,1,1,0,2,4,1.7
Kobe,4,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kobe,5,0,11:00,3,3,1,1,1,1,0,0,,0,1,1,0,0,1,1,2,7,5.3
Kobe,1,0,31:00:00,4,14,0.286,0,5,0,8,12,0.667,2,2,4,2,0,1,0,0,16,10.3
Kobe,2,0,22:00,3,10,0.3,0,1,0,3,4,0.75,1,1,2,1,0,0,2,3,9,1.3
Kobe,3,0,15:00,2,4,0.5,0,1,0,5,7,0.714,0,0,0,1,0,0,2,4,9,3.3
Kobe,4,0,19:00,2,2,1,0,0,,2,3,0.667,0,1,1,0,1,1,3,3,6,2.8
Kobe,1,1,28:00:00,5,9,0.556,1,1,1,6,6,1,0,5,5,5,0,1,2,4,17,14.8
Kobe,2,1,38:00:00,8,15,0.533,1,3,0.333,2,2,1,2,7,9,5,3,1,4,1,19,18
Kobe,3,1,35:00:00,5,17,0.294,1,4,0.25,2,2,1,4,5,9,5,2,4,3,3,13,11.5
Kobe,4,1,47:00:00,9,25,0.36,1,3,0.333,5,6,0.833,1,5,6,8,3,2,3,1,24,18.5
Kobe,1,1,36:00:00,8,17,0.471,0,1,0,5,6,0.833,2,4,6,6,3,1,7,2,21,14.6
Kobe,2,1,47:00:00,12,25,0.48,1,3,0.333,3,5,0.6,1,7,8,4,0,0,5,3,28,13.9
Kobe,3,1,44:00:00,7,18,0.389,2,5,0.4,4,6,0.667,0,4,4,1,4,1,4,4,20,10.4
Kobe,4,1,40:00:00,7,16,0.438,1,3,0.333,1,2,0.5,3,5,8,3,0,0,3,6,16,7.5
Kobe,1,1,39:00:00,11,22,0.5,0,1,0,1,2,0.5,5,2,7,5,0,0,3,5,23,14.2
Kobe,2,1,37:00:00,12,20,0.6,3,3,1,5,6,0.833,0,4,4,1,2,0,1,2,32,24.5
Kobe,3,1,37:00:00,13,25,0.52,2,6,0.333,7,9,0.778,1,2,3,2,2,0,2,5,35,22.6
Kobe,4,1,46:00:00,13,30,0.433,0,3,0,6,8,0.75,2,4,6,4,2,0,7,4,32,14.2
Kobe,5,1,34:00:00,7,16,0.438,1,5,0.2,2,2,1,0,2,2,6,0,3,1,2,17,13.7
Kobe,1,1,34:00:00,8,17,0.471,1,2,0.5,8,10,0.8,3,3,6,1,3,3,3,4,25,19.7
Kobe,2,1,34:00:00,6,11,0.545,0,1,0,3,4,0.75,0,4,4,6,2,2,5,4,15,11.5
Kobe,3,1,47:00:00,8,20,0.4,0,2,0,9,13,0.692,2,3,5,2,2,2,3,4,25,15.1
Kobe,4,1,37:00:00,10,20,0.5,0,5,0,3,6,0.5,1,2,3,5,2,0,2,4,23,15
Kobe,5,1,34:00:00,6,16,0.375,1,3,0.333,4,4,1,1,0,1,3,1,0,2,3,17,8.8
Kobe,1,1,38:00:00,4,9,0.444,0,1,0,5,7,0.714,1,2,3,6,1,1,1,5,13,11.7
Kobe,2,1,42:00:00,2,9,0.222,1,2,0.5,7,8,0.875,0,2,2,4,2,1,2,5,12,8.2
Kobe,3,1,47:00:00,11,18,0.611,1,1,1,2,2,1,2,5,7,7,2,1,3,5,25,22.3
Kobe,4,1,46:00:00,5,15,0.333,2,3,0.667,6,7,0.857,1,3,4,7,2,3,3,4,18,15.1
Kobe,5,1,34:00:00,4,13,0.308,1,3,0.333,8,9,0.889,1,4,5,4,0,2,6,6,17,6.8
Kobe,6,1,48:00:00,12,24,0.5,6,9,0.667,3,6,0.5,0,2,2,6,4,3,3,5,33,25.7
Kobe,7,1,47:00:00,9,19,0.474,1,4,0.25,6,12,0.5,0,11,11,7,0,4,2,4,25,20.3
Kobe,1,1,38:00:00,6,13,0.462,0,2,0,2,2,1,0,3,3,5,1,2,2,4,14,10.5
Kobe,2,1,9:00,1,3,0.333,0,1,0,0,0,,0,1,1,4,0,1,0,1,2,3.7
Kobe,4,1,47:00:00,14,27,0.519,0,0,,0,0,,2,2,4,5,1,2,3,4,28,18
Kobe,5,1,37:00:00,4,20,0.2,0,1,0,0,0,,1,4,5,3,2,0,0,5,8,-0.4
Kobe,6,1,45:00:00,8,27,0.296,2,6,0.333,8,9,0.889,3,7,10,4,1,2,1,4,26,16.7
Kobe,1,1,41:00:00,9,20,0.45,1,2,0.5,9,12,0.75,1,5,6,7,2,0,0,4,28,23.9
Kobe,2,1,35:00:00,8,11,0.727,1,2,0.5,8,10,0.8,2,1,3,7,3,0,3,3,25,25.1
Kobe,3,1,43:00:00,9,23,0.391,0,2,0,4,6,0.667,1,3,4,9,2,0,3,4,22,14
Kobe,1,1,39:00:00,10,23,0.435,0,1,0,9,11,0.818,3,1,4,5,0,0,5,4,29,15.4
Kobe,2,1,47:00:00,9,19,0.474,0,2,0,9,10,0.9,1,8,9,5,1,1,4,4,27,19.6
Kobe,3,1,39:00:00,10,22,0.455,0,1,0,16,19,0.842,0,7,7,4,2,0,5,4,36,23.7
Kobe,4,1,48:00:00,15,29,0.517,1,1,1,17,19,0.895,9,7,16,3,2,1,2,2,48,43.3
Kobe,1,1,47:00:00,19,35,0.543,1,2,0.5,6,8,0.75,1,9,10,3,1,1,4,4,45,28.9
Kobe,2,1,47:00:00,11,24,0.458,1,4,0.25,5,6,0.833,1,6,7,6,2,1,2,4,28,21
Kobe,3,1,40:00:00,14,27,0.519,2,4,0.5,6,9,0.667,5,4,9,8,1,0,3,1,36,29.4
Kobe,4,1,34:00:00,10,19,0.526,1,4,0.25,3,3,1,0,2,2,11,2,1,2,4,24,22.1
Kobe,1,1,52:00:00,7,22,0.318,0,0,,1,1,1,0,3,3,5,1,3,6,4,15,2.3
Kobe,2,1,47:00:00,11,23,0.478,1,2,0.5,8,8,1,1,7,8,6,2,2,2,4,31,26.1
Kobe,3,1,48:00:00,13,30,0.433,0,2,0,6,6,1,0,6,6,3,2,0,3,2,32,18.3
Kobe,4,1,43:00:00,6,13,0.462,0,2,0,7,12,0.583,2,8,10,9,1,1,4,2,19,17.3
Kobe,5,1,44:00:00,7,18,0.389,2,3,0.667,10,11,0.909,2,10,12,6,1,1,3,3,26,21.9
Kobe,1,1,44:00:00,10,28,0.357,2,7,0.286,12,13,0.923,3,4,7,3,2,3,1,3,34,25.3
Kobe,2,1,43:00:00,5,21,0.238,1,4,0.25,8,9,0.889,1,5,6,5,2,0,3,5,19,8.6
